         1 	    0.00647 	   -0.00264
         2 	    0.00289 	   -0.00615
         3 	    0.00479 	   -0.00107
         4 	     0.0109 	  -0.000732
         5 	    0.00397 	   -0.00493
         6 	    0.00384 	   -0.00732
         7 	     0.0047 	   -0.00205
         8 	    0.00311 	   -0.00635
         9 	    0.00496 	     -0.002
        10 	    0.00514 	   -0.00566
        11 	   -0.00393 	  -0.000342
        12 	   -0.00294 	    0.00156
        13 	    0.00371 	     -0.002
        14 	      0.317 	   -0.00308
        15 	      0.357 	   -0.00649
        16 	      0.356 	   -0.00586
        17 	      0.356 	   -0.00161
        18 	      0.349 	  -0.000635
        19 	      0.355 	  -0.000635
        20 	       0.36 	   -0.00229
        21 	      0.359 	  -0.000293
        22 	      0.356 	   -0.00273
        23 	      0.355 	   -0.00347
        24 	      0.359 	   -0.00542
        25 	      0.356 	   -0.00464
        26 	      0.768 	   -0.00493
        27 	       1.06 	   -0.00181
        28 	       1.06 	   0.000781
        29 	       1.06 	   0.000781
        30 	       1.06 	    0.00083
        31 	       1.07 	   -0.00439
        32 	       1.07 	   -0.00117
        33 	       1.06 	  -0.000439
        34 	       1.06 	   -0.00103
        35 	       1.06 	  -0.000439
        36 	       1.39 	    0.00234
        37 	       1.42 	     0.0201
        38 	       1.42 	     0.0776
        39 	       1.42 	      0.171
        40 	       1.42 	      0.286
        41 	       1.42 	       0.37
        42 	       1.42 	      0.452
        43 	       1.42 	       0.49
        44 	       1.42 	      0.534
        45 	       1.42 	      0.564
        46 	       1.45 	      0.614
        47 	       1.77 	      0.763
        48 	       1.78 	      0.969
        49 	       1.78 	       1.19
        50 	       1.78 	        1.4
        51 	       1.78 	       1.52
        52 	       1.79 	       1.76
        53 	       1.79 	       1.91
        54 	       1.98 	       2.09
        55 	       2.13 	       2.38
        56 	       2.13 	       2.67
        57 	       2.13 	        3.2
        58 	       2.14 	       3.53
        59 	       2.13 	       3.89
        60 	       2.21 	       4.26
        61 	       2.49 	       4.63
        62 	       2.49 	          5
        63 	       2.49 	       5.34
        64 	       2.49 	       5.62
        65 	       2.49 	       5.82
        66 	       2.49 	       6.05
        67 	       2.48 	       6.26
        68 	       2.49 	       6.45
        69 	       2.49 	       6.66
        70 	       2.49 	       6.87
        71 	       2.49 	       7.06
        72 	       2.49 	       7.23
        73 	       2.49 	        7.4
        74 	       2.49 	       7.55
        75 	       2.49 	       7.73
        76 	       2.49 	        7.9
        77 	       2.49 	       8.07
        78 	       2.49 	       8.45
        79 	       2.49 	        8.9
        80 	       2.49 	       9.35
        81 	       2.49 	       9.78
        82 	       2.49 	       10.2
        83 	       2.49 	       10.7
        84 	       2.48 	       11.1
        85 	       2.48 	       11.5
        86 	       2.48 	       11.9
        87 	       2.49 	       12.3
        88 	       2.49 	       12.7
        89 	       2.58 	       13.1
        90 	       2.84 	       13.5
        91 	       2.84 	       13.9
        92 	       2.84 	       14.3
        93 	       2.84 	       14.6
        94 	       2.84 	         15
        95 	       2.84 	       15.3
        96 	       2.84 	       15.6
        97 	       2.84 	       15.9
        98 	          3 	       16.2
        99 	        3.2 	       16.5
       100 	       3.19 	       16.8
       101 	        3.2 	         17
       102 	        3.2 	       17.3
       103 	       3.34 	       17.5
       104 	       3.55 	       17.6
       105 	       3.55 	       17.8
       106 	       3.55 	         18
       107 	       3.55 	       18.2
       108 	       3.55 	       18.4
       109 	       3.86 	       18.6
       110 	       3.91 	       18.8
       111 	       3.91 	       18.9
       112 	       3.92 	       19.1
       113 	       3.91 	       19.3
       114 	       3.91 	       19.4
       115 	       3.91 	       19.5
       116 	       3.91 	       19.7
       117 	       3.91 	       19.8
       118 	       3.91 	       19.9
       119 	       4.01 	       20.1
       120 	       4.26 	         20
       121 	       4.26 	       19.9
       122 	       4.26 	       20.3
       123 	       4.26 	       20.5
       124 	       4.28 	       20.6
       125 	       4.28 	       20.7
       126 	       4.28 	       20.8
       127 	       4.57 	       20.9
       128 	       4.63 	         21
       129 	       4.63 	         21
       130 	       5.34 	       20.9
       131 	       5.35 	       20.9
       132 	       5.35 	       20.7
       133 	       5.45 	       20.5
       134 	        5.7 	       20.1
       135 	        5.7 	       19.5
       136 	        5.7 	       18.5
       137 	        5.7 	       16.6
       138 	        5.7 	       15.1
       139 	       6.01 	       14.2
       140 	       6.05 	       13.3
       141 	       6.22 	       12.1
       142 	        6.4 	       10.8
       143 	       6.51 	       10.1
       144 	       7.07 	       9.68
       145 	       7.11 	        9.4
       146 	       7.28 	       9.07
       147 	       7.63 	       8.66
       148 	       7.82 	       8.43
       149 	       7.83 	       8.14
       150 	       7.95 	       7.92
       151 	       8.02 	       7.81
       152 	       8.04 	       7.74
       153 	       8.05 	       7.66
       154 	       8.05 	       7.59
       155 	       8.17 	       7.48
       156 	       8.12 	       7.38
       157 	       8.78 	        7.3
       158 	       10.2 	       7.22
       159 	       10.6 	       7.15
       160 	       10.7 	        7.1
       161 	       10.8 	       7.08
       162 	         11 	       7.03
       163 	       11.4 	       6.98
       164 	       11.4 	       6.91
       165 	       11.5 	       6.84
       166 	       11.7 	       6.79
       167 	       11.7 	       6.67
       168 	       12.5 	       5.49
       169 	       12.9 	       4.71
       170 	       13.4 	       4.42
       171 	         15 	       3.92
       172 	         17 	       3.52
       173 	       19.5 	       3.28
       174 	       21.8 	       3.35
       175 	       23.9 	       3.34
       176 	       26.4 	        3.1
       177 	       28.8 	       2.85
       178 	       30.9 	       2.77
       179 	       33.3 	       2.91
       180 	       35.9 	       2.86
       181 	       37.9 	       2.88
       182 	       40.4 	       2.86
